,target
789,[0.15143]
790,[0.155585]
791,[0.1207]
792,[0.19011]
793,[0.1778]
794,[0.08961]
795,[0.243645]
796,[0.15123]
797,[0.281615]
798,[0.31423]
799,[0.0343]
800,[0.27818]
801,[0.19997]
802,[0.041615]
803,[0.128815]
804,[0.701295]
805,[0.203635]
806,[0.130935]
807,[0.19991]
808,[0.16319]
809,[0.128915]
810,[0.215845]
811,[0.07917]
812,[0.074635]
813,[0.23612]
814,[0.05704]
815,[0.03784]
816,[0.1283]
817,[0.17385]
818,[0.29488]
819,[0.1258]
820,[0.21169]
821,[0.1081]
822,[0.111925]
823,[0.090155]
824,[0.04481]
825,[0.308805]
826,[0.01937]
827,[0.21092]
828,[0.12518]
829,[0.060605]
830,[0.315155]
831,[0.1207]
832,[0.14144]
833,[0.261995]
834,[0.09584]
835,[0.064035]
836,[0.101955]
837,[0.06227]
838,[0.36954]
839,[0.09547]
840,[0.224945]
841,[0.05789]
842,[0.31068]
843,[0.124685]
844,[0.33441]
845,[0.195175]
846,[0.13068]
847,[0.11546]
848,[0.47903]
849,[0.03536]
850,[0.118925]
851,[0.0981]
852,[0.35853]
853,[0.115025]
854,[0.224745]
855,[0.09021]
856,[0.07902]
857,[0.19409]
858,[0.160165]
859,[0.170745]
860,[0.18198]
861,[0.10178]
862,[0.024645]
863,[0.048545]
864,[0.079115]
865,[0.12202]
866,[0.08059]
867,[0.0232]
868,[0.22049]
869,[0.12565]
870,[0.228465]
871,[0.040365]
872,[0.73889]
873,[0.129575]
874,[0.09406]
875,[0.045575]
876,[0.124965]
877,[0.071605]
878,[0.099015]
879,[0.27989]
880,[0.26583]
881,[0.33181]
882,[0.078545]
883,[0.23393]
884,[0.101365]
885,[0.139755]
886,[0.175195]
887,[0.13494]
888,[0.016375]
889,[0.140245]
890,[0.08133]
891,[0.160935]
892,[0.0437]
893,[0.13373]
894,[0.076225]
895,[0.1368]
896,[0.022]
897,[0.14546]
898,[0.30252]
899,[0.1679]
900,[0.647725]
901,[0.30079]
902,[0.05532]
903,[0.073875]
904,[0.041555]
905,[0.038515]
906,[0.07585]
907,[0.25818]
908,[0.189965]
909,[0.188875]
910,[0.07047]
911,[0.093425]
912,[0.01501]
913,[0.164715]
914,[0.075565]
915,[0.24845]
916,[0.113475]
917,[0.24307]
918,[0.06723]
919,[0.049155]
920,[0.300705]
921,[0.181485]
922,[0.223945]
923,[0.04585]
924,[0.0764]
925,[0.341135]
926,[0.192045]
927,[0.2673]
928,[0.33495]
929,[0.1326]
930,[0.20038]
931,[0.197915]
932,[0.04355]
933,[0.058555]
934,[0.186935]
935,[0.198965]
936,[0.11722]
937,[0.1042]
938,[0.05241]
939,[0.183155]
940,[0.061245]
941,[0.15946]
942,[0.172305]
943,[0.21516]
944,[0.128395]
945,[0.236505]
946,[0.093195]
947,[0.07646]
948,[0.08756]
949,[0.185495]
950,[0.06068]
951,[0.16152]
952,[0.05175]
953,[0.32416]
954,[0.14406]
955,[0.163365]
956,[0.23875]
957,[0.13249]
958,[0.151]
959,[0.073635]
960,[0.13594]
961,[0.146435]
962,[0.130145]
963,[0.17482]
964,[0.08307]
965,[0.30938]
966,[0.08021]
967,[0.035875]
968,[0.24081]
969,[0.040485]
970,[0.04568]
971,[0.1033]
972,[0.064585]
973,[0.258865]
974,[0.15288]
975,[0.03619]
976,[0.304]
977,[0.168175]
978,[0.28891]
979,[0.146275]
980,[0.02381]
981,[0.0525]
982,[0.17447]
983,[0.354995]
984,[0.2817]
985,[0.03288]
986,[0.07956]
987,[0.10726]
988,[0.23432]
989,[0.076665]
990,[0.224775]
991,[0.02054]
992,[0.16652]
993,[0.09699]
994,[0.0309]
995,[0.015985]
996,[0.06309]
997,[0.0791]
998,[0.039805]
999,[0.14838]
1000,[0.108925]
1001,[0.15473]
1002,[0.18281]
1003,[0.118935]
1004,[0.23565]
1005,[0.196865]
1006,[0.23875]
1007,[0.128165]
1008,[0.308525]
1009,[0.08463]
1010,[0.01387]
1011,[0.091425]
1012,[0.168865]
1013,[0.117465]
1014,[0.634925]
1015,[0.198735]
1016,[0.03803]
1017,[0.194755]
1018,[0.058625]
1019,[0.25968]
1020,[0.15718]
1021,[0.233905]
1022,[0.329615]
1023,[0.41434]
1024,[0.87121]
1025,[0.29768]
1026,[0.16396]
1027,[0.625]
1028,[0.225745]
1029,[0.32607]
1030,[0.03419]
1031,[0.050595]
1032,[0.11698]
1033,[0.135985]
1034,[0.181515]
1035,[0.136675]
1036,[0.171935]
1037,[0.13572]
1038,[0.044325]
1039,[0.18592]
1040,[0.170865]
1041,[0.23944]
1042,[0.13801]
1043,[0.271655]
1044,[0.135615]
1045,[0.107035]
1046,[0.06825]
1047,[0.160945]
1048,[0.24247]
1049,[0.311635]
1050,[0.117735]
1051,[0.179065]
1052,[0.19634]
1053,[0.149705]
1054,[0.151715]
1055,[0.15887]
1056,[0.13762]
1057,[0.17862]
1058,[0.14867]
1059,[0.85909]
1060,[0.14027]
1061,[0.100935]
1062,[0.08594]
1063,[0.185275]
1064,[0.170935]
1065,[0.142885]
1066,[0.15769]
1067,[0.22701]
1068,[0.17649]
1069,[0.1396]
1070,[0.183995]
1071,[0.17043]
1072,[0.12061]
1073,[0.18102]
1074,[0.15791]
1075,[0.14851]
1076,[0.12572]
1077,[0.17913]
1078,[0.13587]
1079,[0.04416]
1080,[0.054055]
1081,[0.10317]
1082,[0.15647]
1083,[0.15476]
1084,[0.16079]
1085,[0.16275]
1086,[0.177665]
1087,[0.208665]
1088,[0.19465]
1089,[0.030465]
1090,[0.190515]
1091,[0.197775]
1092,[0.17889]
1093,[0.20543]
1094,[0.043875]
1095,[0.258305]
1096,[0.04377]
1097,[0.089645]
1098,[0.13708]
1099,[0.08927]
1100,[0.05294]
1101,[0.026885]
1102,[0.269875]
1103,[0.26055]
1104,[0.11154]
1105,[0.212915]
1106,[0.03911]
1107,[0.27744]
1108,[0.130365]
1109,[0.135225]
1110,[0.221735]
1111,[0.18502]
1112,[0.067015]
1113,[0.08992]
1114,[0.197675]
1115,[0.07286]
1116,[0.158025]
1117,[0.093555]
1118,[0.18026]
1119,[0.01432]
1120,[0.08514]
1121,[0.21082]
1122,[0.09558]
1123,[0.1003]
1124,[0.09603]
1125,[0.09297]
1126,[0.123245]
1127,[0.228535]
1128,[0.212915]
1129,[0.23373]
1130,[0.073415]
1131,[0.14638]
1132,[0.18089]
1133,[0.037035]
1134,[0.199145]
1135,[0.094225]
1136,[0.12651]
1137,[0.05072]
1138,[0.21983]
1139,[0.212225]
1140,[0.108215]
1141,[0.06436]
1142,[0.0226]
1143,[0.02425]
1144,[0.043805]
1145,[0.01513]
1146,[0.054965]
1147,[0.231835]
1148,[0.11308]
1149,[0.04457]
1150,[0.26697]
1151,[0.051415]
1152,[0.226045]
1153,[0.116195]
1154,[0.180135]
1155,[0.09161]
1156,[0.11395]
1157,[0.07103]
1158,[0.15147]
1159,[0.19962]
1160,[0.273325]
1161,[0.04276]
1162,[0.06148]
1163,[0.27837]
1164,[0.178775]
1165,[0.228305]
1166,[0.082955]
1167,[0.11695]
1168,[0.13109]
1169,[0.069265]
1170,[0.20464]
1171,[0.165]
1172,[0.06476]
1173,[0.150525]
1174,[0.040475]
1175,[0.115785]
1176,[0.21405]
1177,[0.078135]
1178,[0.02671]
1179,[0.032175]
1180,[0.323865]
1181,[0.14706]
1182,[0.203955]
1183,[0.30499]
1184,[0.248775]
1185,[0.27481]
1186,[0.12342]
1187,[0.18405]
1188,[0.247225]
1189,[0.146555]
1190,[0.75]
1191,[0.25675]
1192,[0.02276]
1193,[0.113525]
1194,[0.206845]
1195,[0.088395]
1196,[0.763635]
1197,[0.19527]
1198,[0.22019]
1199,[0.11107]
1200,[0.12325]
1201,[0.064115]
1202,[0.19719]
1203,[0.23566]
1204,[0.3399]
1205,[0.06401]
1206,[0.16355]
1207,[0.042765]
1208,[0.21344]
1209,[0.053635]
1210,[0.12341]
1211,[0.07983]
1212,[0.23936]
1213,[0.07185]
1214,[0.164425]
1215,[0.30031]
1216,[0.11795]
1217,[0.067475]
1218,[0.277265]
1219,[0.255285]
1220,[0.195335]
1221,[0.11783]
1222,[0.104595]
1223,[0.041545]
1224,[0.14646]
1225,[0.015875]
1226,[0.1378]
1227,[0.88889]
1228,[0.32962]
1229,[0.06895]
1230,[0.04237]
1231,[0.10463]
1232,[0.085725]
1233,[0.075765]
1234,[0.05761]
1235,[0.268345]
1236,[0.25754]
1237,[0.09031]
1238,[0.298395]
1239,[0.048755]
1240,[0.015525]
1241,[0.138945]
1242,[0.14028]
1243,[0.14643]
1244,[0.22628]
1245,[0.20127]
1246,[0.08399]
1247,[0.28131]
1248,[0.150425]
1249,[0.255595]
1250,[0.01554]
1251,[0.11401]
1252,[0.093145]
1253,[0.060795]
1254,[0.27589]
1255,[0.060015]
1256,[0.09302]
1257,[0.19931]
1258,[0.33232]
1259,[0.02079]
1260,[0.021265]
1261,[0.22057]
1262,[0.04174]
1263,[0.122505]
1264,[0.111485]
1265,[0.08766]
1266,[0.248455]
1267,[0.13977]
1268,[0.05644]
1269,[0.16136]
1270,[0.04368]
1271,[0.24299]
1272,[0.13377]
1273,[0.15728]
1274,[0.137235]
1275,[0.190625]
1276,[0.125055]
1277,[0.113325]
1278,[0.022575]
1279,[0.138035]
1280,[0.099245]
1281,[0.234825]
1282,[0.16116]
1283,[0.25072]
1284,[0.14438]
1285,[0.10802]
1286,[0.209135]
1287,[0.29038]
1288,[0.1164]
1289,[0.07933]
1290,[0.327435]
1291,[0.202155]
1292,[0.018955]
1293,[0.12957]
1294,[0.142175]
1295,[0.228245]
1296,[0.10811]
1297,[0.100485]
1298,[0.16053]
1299,[0.15291]
1300,[0.18398]
1301,[0.22159]
1302,[0.191145]
1303,[0.12058]
1304,[0.10143]
1305,[0.031185]
1306,[0.14384]
1307,[0.34287]
1308,[0.12377]
1309,[0.08385]
1310,[0.1804]
1311,[0.3036]
1312,[0.1144]
1313,[0.029655]
1314,[0.04139]
1315,[0.265875]
1316,[0.02539]
1317,[0.04648]
1318,[0.18005]
1319,[0.15572]
1320,[0.31083]
1321,[0.13082]
1322,[0.149515]
1323,[0.10264]
1324,[0.100035]
1325,[0.04485]
1326,[0.105275]
1327,[0.129155]
1328,[0.06566]
1329,[0.129975]
1330,[0.13317]
1331,[0.09161]
1332,[0.11389]
1333,[0.128495]
1334,[0.04456]
1335,[0.152265]
1336,[0.10136]
1337,[0.19884]
1338,[0.08068]
1339,[0.183775]
1340,[0.32146]
1341,[0.215885]
1342,[0.13804]
1343,[0.29545]
1344,[0.29192]
1345,[0.021385]
1346,[0.03044]
1347,[0.25377]
1348,[0.09634]
1349,[0.16486]
1350,[0.26957]
1351,[0.05678]
1352,[0.28077]
1353,[0.13574]
1354,[0.259345]
1355,[0.134715]
1356,[0.06992]
1357,[0.108495]
1358,[0.05183]
1359,[0.128605]
1360,[0.13611]
1361,[0.07156]
1362,[0.212895]
1363,[0.33817]
1364,[0.10657]
1365,[0.061665]
